date,turnover_value,turnover_pct,rebalance_fees,cash_balance
2015-02-01,0.0,0.0,0.0,110000.0
2015-03-01,0.0,0.0,0.0,120000.0
2015-04-01,0.0,0.0,0.0,130000.0
2015-05-03,0.0,0.0,0.0,140000.0
2015-06-01,0.0,0.0,0.0,150000.0
2015-07-02,0.0,0.0,0.0,160000.0
2015-08-03,0.0,0.0,0.0,170000.0
2015-09-01,0.0,0.0,0.0,180000.0
2015-10-04,0.0,0.0,0.0,190000.0
2015-11-01,0.0,0.0,0.0,200000.0
2015-12-02,0.0,0.0,0.0,210000.0
2016-01-03,0.0,0.0,0.0,220000.0
2016-02-01,0.0,0.0,0.0,230000.0
2016-03-02,0.0,0.0,0.0,240000.0
2016-04-04,0.0,0.0,0.0,250000.0
2016-05-03,0.0,0.0,0.0,260000.0
2016-06-01,0.0,0.0,0.0,270000.0
2016-07-10,0.0,0.0,0.0,280000.0
2016-08-02,0.0,0.0,0.0,290000.0
2016-09-01,0.0,0.0,0.0,300000.0
2016-10-03,0.0,0.0,0.0,310000.0
2016-11-02,0.0,0.0,0.0,320000.0
2016-12-01,0.0,0.0,0.0,330000.0
2017-01-02,0.0,0.0,0.0,340000.0
2017-02-07,0.0,0.0,0.0,350000.0
2017-03-01,0.0,0.0,0.0,360000.0
2017-04-05,0.0,0.0,0.0,370000.0
2017-05-02,0.0,0.0,0.0,380000.0
2017-06-01,0.0,0.0,0.0,390000.0
2017-07-09,0.0,0.0,0.0,400000.0
2017-08-14,0.0,0.0,0.0,410000.0
2017-09-07,0.0,0.0,0.0,420000.0
2017-10-02,0.0,0.0,0.0,430000.0
2017-11-09,0.0,0.0,0.0,440000.0
2017-12-03,0.0,0.0,0.0,450000.0
2018-01-02,0.0,0.0,0.0,460000.0
2018-02-06,0.0,0.0,0.0,470000.0
2018-03-04,0.0,0.0,0.0,480000.0
2018-04-11,0.0,0.0,0.0,490000.0
2018-05-02,0.0,0.0,0.0,500000.0
2018-06-14,0.0,0.0,0.0,510000.0
