family,number,value,holdout_excess_vs_etf_dca,holdout_max_drawdown,closed_trades,params
news_event_rules,0,-0.5620044057607898,-0.5620044057607898,0.0,0.0,"{""atr_len"": 9, ""confirm_lookback"": 22, ""event_window_days"": 14, ""max_hold_bars"": 106, ""max_positions"": 6, ""min_event_score"": 1.602560575390797, ""scan_mode"": ""monthly"", ""stop_atr"": 1.3352217661196566, ""target_atr"": 3.67165085336826, ""top_n"": 6, ""trail_atr"": 3.7981634465212504, ""trend_len"": 102, ""volume_long"": 42, ""volume_short"": 24}"
news_event_rules,1,-0.5010417131088221,-0.5010417131088221,0.02462643669001241,21.0,"{""atr_len"": 9, ""confirm_lookback"": 17, ""event_window_days"": 55, ""max_hold_bars"": 39, ""max_positions"": 5, ""min_event_score"": 1.2651317392921637, ""scan_mode"": ""weekly"", ""stop_atr"": 1.8665048518901597, ""target_atr"": 5.043898930369315, ""top_n"": 5, ""trail_atr"": 2.416969145862888, ""trend_len"": 74, ""volume_long"": 84, ""volume_short"": 11}"
news_event_rules,2,-0.5484916943714777,-0.5484916943714777,0.0505351292817422,49.0,"{""atr_len"": 12, ""confirm_lookback"": 24, ""event_window_days"": 38, ""max_hold_bars"": 24, ""max_positions"": 4, ""min_event_score"": 0.8451001770981257, ""scan_mode"": ""monthly"", ""stop_atr"": 1.5974180736886998, ""target_atr"": 3.8608833246932774, ""top_n"": 4, ""trail_atr"": 2.550706104167808, ""trend_len"": 132, ""volume_long"": 82, ""volume_short"": 17}"
news_event_rules,3,-0.5169349615415657,-0.5169349615415657,0.014541304632402996,13.0,"{""atr_len"": 10, ""confirm_lookback"": 26, ""event_window_days"": 50, ""max_hold_bars"": 106, ""max_positions"": 5, ""min_event_score"": 1.972659320538595, ""scan_mode"": ""monthly"", ""stop_atr"": 2.878664751371541, ""target_atr"": 2.369143190952101, ""top_n"": 7, ""trail_atr"": 4.606685933840761, ""trend_len"": 129, ""volume_long"": 52, ""volume_short"": 27}"
news_event_rules,4,-0.4967928884828616,-0.4967928884828616,0.04266675205112502,17.0,"{""atr_len"": 8, ""confirm_lookback"": 44, ""event_window_days"": 54, ""max_hold_bars"": 114, ""max_positions"": 5, ""min_event_score"": 1.207761995620175, ""scan_mode"": ""monthly"", ""stop_atr"": 2.264790462674102, ""target_atr"": 5.517836031451061, ""top_n"": 9, ""trail_atr"": 2.928058246564117, ""trend_len"": 134, ""volume_long"": 54, ""volume_short"": 22}"
news_event_rules,5,-0.5738967754002879,-0.5738967754002879,0.02976571967184416,18.0,"{""atr_len"": 12, ""confirm_lookback"": 13, ""event_window_days"": 32, ""max_hold_bars"": 56, ""max_positions"": 5, ""min_event_score"": 1.4830974550974785, ""scan_mode"": ""weekly"", ""stop_atr"": 1.6132980315082923, ""target_atr"": 4.331337651345607, ""top_n"": 10, ""trail_atr"": 4.336105200295372, ""trend_len"": 107, ""volume_long"": 52, ""volume_short"": 12}"
news_event_rules,6,-0.5663490371850828,-0.5663490371850828,0.08677812715807376,85.0,"{""atr_len"": 10, ""confirm_lookback"": 22, ""event_window_days"": 23, ""max_hold_bars"": 126, ""max_positions"": 7, ""min_event_score"": 0.9108450741675354, ""scan_mode"": ""weekly"", ""stop_atr"": 3.419381392456939, ""target_atr"": 4.53820532093044, ""top_n"": 8, ""trail_atr"": 2.240015858799027, ""trend_len"": 133, ""volume_long"": 46, ""volume_short"": 24}"
news_event_rules,7,-0.5724820908689546,-0.5724820908689546,0.010547973820521528,5.0,"{""atr_len"": 18, ""confirm_lookback"": 26, ""event_window_days"": 28, ""max_hold_bars"": 91, ""max_positions"": 4, ""min_event_score"": 2.2854652850877386, ""scan_mode"": ""weekly"", ""stop_atr"": 1.5916889771981695, ""target_atr"": 3.179414533879343, ""top_n"": 8, ""trail_atr"": 4.756133244491001, ""trend_len"": 70, ""volume_long"": 64, ""volume_short"": 17}"
news_event_rules,8,-0.5570417075842604,-0.5570417075842604,0.06843141961888377,34.0,"{""atr_len"": 16, ""confirm_lookback"": 26, ""event_window_days"": 14, ""max_hold_bars"": 104, ""max_positions"": 5, ""min_event_score"": 0.9017761698376494, ""scan_mode"": ""monthly"", ""stop_atr"": 2.306770415263144, ""target_atr"": 4.141301907603642, ""top_n"": 10, ""trail_atr"": 4.996482965786498, ""trend_len"": 48, ""volume_long"": 86, ""volume_short"": 22}"
news_event_rules,9,-0.56959778574152,-0.56959778574152,0.007593379980730175,4.0,"{""atr_len"": 19, ""confirm_lookback"": 28, ""event_window_days"": 11, ""max_hold_bars"": 38, ""max_positions"": 7, ""min_event_score"": 1.2562765691512299, ""scan_mode"": ""monthly"", ""stop_atr"": 1.730469825197747, ""target_atr"": 4.488971583283941, ""top_n"": 7, ""trail_atr"": 2.55400090345071, ""trend_len"": 120, ""volume_long"": 70, ""volume_short"": 22}"
news_event_rules,10,-0.4976581807653073,-0.4976581807653073,0.21354826070477428,68.0,"{""atr_len"": 7, ""confirm_lookback"": 44, ""event_window_days"": 46, ""max_hold_bars"": 74, ""max_positions"": 3, ""min_event_score"": 0.5903665911668452, ""scan_mode"": ""monthly"", ""stop_atr"": 2.411599235958486, ""target_atr"": 5.808387778033241, ""top_n"": 9, ""trail_atr"": 3.1366684041290354, ""trend_len"": 86, ""volume_long"": 65, ""volume_short"": 30}"
