date,turnover_value,turnover_pct,rebalance_fees,cash_balance
2015-02-01,0.0,0.0,0.0,110000.0
2015-03-01,0.0,0.0,0.0,120000.0
2015-04-01,0.0,0.0,0.0,130000.0
2015-05-03,0.0,0.0,0.0,140000.0
2015-06-01,0.0,0.0,0.0,150000.0
2015-07-02,0.0,0.0,0.0,160000.0
2015-08-03,0.0,0.0,0.0,170000.0
2015-09-01,0.0,0.0,0.0,180000.0
2015-10-04,0.0,0.0,0.0,190000.0
2015-11-01,0.0,0.0,0.0,200000.0
2015-12-02,0.0,0.0,0.0,210000.0
2016-01-03,0.0,0.0,0.0,220000.0
2016-02-01,229484.73502499997,0.9977597174999999,498.9694700499999,16.295504950023314
2016-03-02,195115.01369000002,0.8321282437835424,390.23002738,204741.07916757005
2016-04-04,218853.84143,0.8371322450156007,442.70768286000003,228207.28820173006
2016-05-03,271093.68429000006,1.083957101841841,547.1873685800001,218310.1554616901
2016-06-01,198242.72905000002,0.9515215481748744,396.4854581000001,207847.2123690201
2016-07-10,0.0,0.0,0.0,217847.2123690201
2016-08-02,0.0,0.0,0.0,227847.2123690201
2016-09-01,0.0,0.0,0.0,237847.2123690201
2016-10-03,0.0,0.0,0.0,247847.2123690201
2016-11-02,0.0,0.0,0.0,257847.2123690201
2016-12-01,0.0,0.0,0.0,267847.2123690201
2017-01-02,0.0,0.0,0.0,277847.2123690201
2017-02-07,0.0,0.0,0.0,287847.2123690201
2017-03-01,0.0,0.0,0.0,297847.2123690201
2017-04-05,0.0,0.0,0.0,307847.2123690201
2017-05-02,0.0,0.0,0.0,317847.2123690201
2017-06-01,0.0,0.0,0.0,327847.2123690201
2017-07-09,0.0,0.0,0.0,337847.2123690201
2017-08-14,0.0,0.0,0.0,347847.2123690201
2017-09-07,0.0,0.0,0.0,357847.2123690201
2017-10-02,0.0,0.0,0.0,367847.2123690201
2017-11-09,0.0,0.0,0.0,377847.2123690201
2017-12-03,0.0,0.0,0.0,387847.2123690201
2018-01-02,0.0,0.0,0.0,397847.2123690201
